,kdcode,dt,label,event_att,news_att,price_att,up,down,neural,pred_label,ori_pred_label,pred_probability
63,000158.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.26749524,0.30579495,0.4267098,2,1,"[0.2674952447414398, 0.30579495429992676, 0.4267098009586334]"
64,000159.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.3754848,0.17157105,0.4529441,2,2,"[0.37548479437828064, 0.1715710461139679, 0.4529440999031067]"
65,000166.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.2777489,0.23183472,0.4904164,2,0,"[0.2777489125728607, 0.23183472454547882, 0.49041640758514404]"
66,000301.SZ,2019-04-03,0.0,1.636581e-33,0.0,1.0,0.21945429,0.14407714,0.6364686,2,0,"[0.21945428848266602, 0.1440771371126175, 0.6364685893058777]"
67,000333.SZ,2019-04-03,0.0,0.0,0.0,1.0,0.3009615,0.32328746,0.37575102,2,1,"[0.3009614944458008, 0.3232874572277069, 0.3757510185241699]"
68,000338.SZ,2019-04-03,0.0,0.0,0.0,1.0,0.3118085,0.22260948,0.46558207,2,0,"[0.3118084967136383, 0.2226094752550125, 0.46558207273483276]"
69,000400.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.26507887,0.22485742,0.5100637,2,0,"[0.2650788724422455, 0.2248574197292328, 0.5100637078285217]"
70,000401.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.282322,0.44741523,0.27026278,1,1,"[0.2823219895362854, 0.44741523265838623, 0.27026277780532837]"
71,000402.SZ,2019-04-03,0.0,0.0,0.0,1.0,0.2908965,0.27204514,0.43705842,2,0,"[0.2908965051174164, 0.2720451354980469, 0.4370584189891815]"
72,000403.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.20825438,0.15757136,0.6341743,2,0,"[0.2082543820142746, 0.15757136046886444, 0.6341742873191833]"
73,000404.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.26648772,0.26866782,0.46484444,2,1,"[0.266487717628479, 0.2686678171157837, 0.4648444354534149]"
74,000407.SZ,2019-04-03,0.0,0.0,0.0,1.0,0.25945854,0.22605807,0.5144834,2,0,"[0.2594585418701172, 0.22605806589126587, 0.5144833922386169]"
75,000408.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.26688743,0.21168081,0.5214318,2,0,"[0.2668874263763428, 0.2116808146238327, 0.5214318037033081]"
76,000410.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.2722874,0.26374036,0.4639723,2,1,"[0.27228739857673645, 0.2637403607368469, 0.4639723002910614]"
77,000411.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.26147747,0.2196422,0.5188803,2,2,"[0.2614774703979492, 0.21964220702648163, 0.518880307674408]"
78,000413.SZ,2019-04-03,0.0,0.0,0.0,1.0,0.26670605,0.2290235,0.5042705,2,0,"[0.26670604944229126, 0.2290235012769699, 0.5042704939842224]"
79,000415.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.27287608,0.24036208,0.4867619,2,2,"[0.2728760838508606, 0.24036207795143127, 0.4867618978023529]"
80,000416.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.27080587,0.3205412,0.40865296,2,1,"[0.27080586552619934, 0.3205412030220032, 0.4086529612541199]"
81,000417.SZ,2019-04-03,0.0,0.0,0.0,1.0,0.24327606,0.3815629,0.3751611,1,1,"[0.24327605962753296, 0.38156288862228394, 0.3751611113548279]"
82,000418.SZ,2019-04-03,0.0,0.0,0.0,1.0,0.30636925,0.38500434,0.30862638,1,1,"[0.30636924505233765, 0.38500434160232544, 0.3086263835430145]"
83,000419.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.27556062,0.31802544,0.40641397,2,1,"[0.2755606174468994, 0.3180254399776459, 0.4064139723777771]"
84,000420.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.20845807,0.17784038,0.6137016,2,0,"[0.2084580659866333, 0.17784038186073303, 0.613701581954956]"
85,000421.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.26487958,0.21155748,0.5235629,2,0,"[0.26487958431243896, 0.21155747771263123, 0.5235629081726074]"
86,000423.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.24846724,0.15588576,0.59564704,2,0,"[0.24846723675727844, 0.1558857560157776, 0.5956470370292664]"
87,000425.SZ,2019-04-03,0.0,0.0,0.0,1.0,0.2621623,0.22506583,0.5127719,2,0,"[0.26216229796409607, 0.22506582736968994, 0.5127719044685364]"
88,000426.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.3487185,0.33864754,0.312634,0,2,"[0.3487184941768646, 0.3386475443840027, 0.3126339912414551]"
